"id" "name" "sex" "age" "height" "weight" "team" "noc" "games" "year" "season" "city" "sport" "event" "medal"
"97" 6662 "Andrzej Stanisaw Badeski" "M" 25 173 68 "Poland" "POL" "1968 Summer" 1968 "Summer" "Mexico City" "Athletics" "Athletics Men's 400 metres" NA
"98" 6662 "Andrzej Stanisaw Badeski" "M" 25 173 68 "Poland" "POL" "1968 Summer" 1968 "Summer" "Mexico City" "Athletics" "Athletics Men's 4 x 400 metres Relay" NA
"99" 6662 "Andrzej Stanisaw Badeski" "M" 29 173 68 "Poland" "POL" "1972 Summer" 1972 "Summer" "Munich" "Athletics" "Athletics Men's 400 metres" NA
"100" 6662 "Andrzej Stanisaw Badeski" "M" 29 173 68 "Poland" "POL" "1972 Summer" 1972 "Summer" "Munich" "Athletics" "Athletics Men's 4 x 400 metres Relay" NA
"101" 6761 "Tadeusz Bafia" "M" 23 189 72 "Poland" "POL" "1988 Winter" 1988 "Winter" "Calgary" "Nordic Combined" "Nordic Combined Men's Individual" NA
"102" 6961 "Marek Bajan" "M" 23 178 68 "Poland" "POL" "1980 Summer" 1980 "Summer" "Moskva" "Modern Pentathlon" "Modern Pentathlon Men's Individual" NA
"103" 6961 "Marek Bajan" "M" 23 178 68 "Poland" "POL" "1980 Summer" 1980 "Summer" "Moskva" "Modern Pentathlon" "Modern Pentathlon Men's Team" NA
"104" 6978 "Marek Antoni Bajor" "M" 22 183 77 "Poland" "POL" "1992 Summer" 1992 "Summer" "Barcelona" "Football" "Football Men's Football" "Silver"
"105" 6982 "Boena Bk (-Siemieniec)" "F" 26 180 70 "Poland" "POL" "1992 Summer" 1992 "Summer" "Barcelona" "Badminton" "Badminton Women's Singles" NA
"106" 6985 "Krystian Bk" "M" 23 185 83 "Poland" "POL" "1980 Summer" 1980 "Summer" "Moskva" "Hockey" "Hockey Men's Hockey" NA
"107" 7057 "Micha Bkiewicz" "M" 23 197 87 "Poland" "POL" "2004 Summer" 2004 "Summer" "Athina" "Volleyball" "Volleyball Men's Volleyball" NA
"108" 7106 "Barbara Bakulin (-Kobzda)" "F" 21 161 54 "Poland" "POL" "1972 Summer" 1972 "Summer" "Munich" "Athletics" "Athletics Women's 4 x 100 metres Relay" NA
"109" 7117 "Jan Balachowski" "M" 19 183 76 "Poland" "POL" "1968 Summer" 1968 "Summer" "Mexico City" "Athletics" "Athletics Men's 400 metres" NA
"110" 7117 "Jan Balachowski" "M" 19 183 76 "Poland" "POL" "1968 Summer" 1968 "Summer" "Mexico City" "Athletics" "Athletics Men's 4 x 400 metres Relay" NA
"111" 7117 "Jan Balachowski" "M" 23 183 76 "Poland" "POL" "1972 Summer" 1972 "Summer" "Munich" "Athletics" "Athletics Men's 4 x 400 metres Relay" NA
"112" 7182 "Piotr Balcerzak" "M" 25 175 68 "Poland" "POL" "2000 Summer" 2000 "Summer" "Sydney" "Athletics" "Athletics Men's 100 metres" NA
"113" 7182 "Piotr Balcerzak" "M" 25 175 68 "Poland" "POL" "2000 Summer" 2000 "Summer" "Sydney" "Athletics" "Athletics Men's 4 x 100 metres Relay" NA
"114" 7369 "Halina Balon" "F" 20 172 69 "Poland" "POL" "1968 Summer" 1968 "Summer" "Mexico City" "Fencing" "Fencing Women's Foil, Individual" NA
"115" 7369 "Halina Balon" "F" 20 172 69 "Poland" "POL" "1968 Summer" 1968 "Summer" "Mexico City" "Fencing" "Fencing Women's Foil, Team" NA
"116" 7369 "Halina Balon" "F" 24 172 69 "Poland" "POL" "1972 Summer" 1972 "Summer" "Munich" "Fencing" "Fencing Women's Foil, Individual" NA
"117" 7369 "Halina Balon" "F" 24 172 69 "Poland" "POL" "1972 Summer" 1972 "Summer" "Munich" "Fencing" "Fencing Women's Foil, Team" NA
"118" 7448 "ukasz Banak" "M" 28 186 120 "Poland" "POL" "2012 Summer" 2012 "Summer" "London" "Wrestling" "Wrestling Men's Super-Heavyweight, Greco-Roman" NA
"119" 7451 "Bolesaw Bana" "M" 36 176 72 "Poland" "POL" "1948 Summer" 1948 "Summer" "London" "Fencing" "Fencing Men's epee, Team" NA
"120" 7451 "Bolesaw Bana" "M" 36 176 72 "Poland" "POL" "1948 Summer" 1948 "Summer" "London" "Fencing" "Fencing Men's Sabre, Individual" NA
"121" 7451 "Bolesaw Bana" "M" 36 176 72 "Poland" "POL" "1948 Summer" 1948 "Summer" "London" "Fencing" "Fencing Men's Sabre, Team" NA
"122" 7452 "Justyna Banasiak" "F" 18 169 49 "Poland" "POL" "2004 Summer" 2004 "Summer" "Athina" "Rhythmic Gymnastics" "Rhythmic Gymnastics Women's Group" NA
"123" 7454 "Piotr Banaszak" "M" 28 175 107 "Poland" "POL" "1992 Summer" 1992 "Summer" "Barcelona" "Weightlifting" "Weightlifting Men's Heavyweight II" NA
"124" 7470 "Leszek Bandach" "M" 28 171 72 "Poland" "POL" "1988 Summer" 1988 "Summer" "Seoul" "Fencing" "Fencing Men's Foil, Individual" NA
"125" 7470 "Leszek Bandach" "M" 28 171 72 "Poland" "POL" "1988 Summer" 1988 "Summer" "Seoul" "Fencing" "Fencing Men's Foil, Team" NA
"126" 7481 "Jerzy Bandura" "M" 32 NA NA "Poland" "POL" "1948 Summer" 1948 "Summer" "London" "Art Competitions" "Art Competitions Mixed Sculpturing, Statues" NA
"127" 7533 "Hubert Jzef Banisz" "M" 24 176 70 "Poland" "POL" "1952 Summer" 1952 "Summer" "Helsinki" "Football" "Football Men's Football" NA
"128" 7654 "Radosaw Baran" "M" 26 177 97 "Poland" "POL" "2016 Summer" 2016 "Summer" "Rio de Janeiro" "Wrestling" "Wrestling Men's Heavyweight, Freestyle" NA
"129" 7655 "Robert Baran" "M" 24 186 103 "Poland" "POL" "2016 Summer" 2016 "Summer" "Rio de Janeiro" "Wrestling" "Wrestling Men's Super-Heavyweight, Freestyle" NA
"130" 7656 "Witold Stanisaw Baran" "M" 25 178 70 "Poland" "POL" "1964 Summer" 1964 "Summer" "Tokyo" "Athletics" "Athletics Men's 1,500 metres" NA
"131" 7657 "Jzef Baran-Bilewski" "M" 29 191 82 "Poland" "POL" "1928 Summer" 1928 "Summer" "Amsterdam" "Athletics" "Athletics Men's Discus Throw" NA
"132" 7658 "Barbara Bronisawa Baran-Wojnar" "F" 20 168 55 "Poland" "POL" "1980 Summer" 1980 "Summer" "Moskva" "Athletics" "Athletics Women's Long Jump" NA
"133" 7678 "Katarzyna \"Kasia\" Baranowska" "F" 20 184 72 "Poland" "POL" "2008 Summer" 2008 "Summer" "Beijing" "Swimming" "Swimming Women's 4 x 200 metres Freestyle Relay" NA
"134" 7678 "Katarzyna \"Kasia\" Baranowska" "F" 20 184 72 "Poland" "POL" "2008 Summer" 2008 "Summer" "Beijing" "Swimming" "Swimming Women's 200 metres Individual Medley" NA
"135" 7678 "Katarzyna \"Kasia\" Baranowska" "F" 20 184 72 "Poland" "POL" "2008 Summer" 2008 "Summer" "Beijing" "Swimming" "Swimming Women's 400 metres Individual Medley" NA
"136" 7678 "Katarzyna \"Kasia\" Baranowska" "F" 28 184 72 "Poland" "POL" "2016 Summer" 2016 "Summer" "Rio de Janeiro" "Swimming" "Swimming Women's 200 metres Individual Medley" NA
"137" 7679 "Dariusz Baranowski" "M" 20 177 79 "Poland" "POL" "1992 Summer" 1992 "Summer" "Barcelona" "Cycling" "Cycling Men's 100 kilometres Team Time Trial" NA
"138" 7679 "Dariusz Baranowski" "M" 24 177 79 "Poland" "POL" "1996 Summer" 1996 "Summer" "Atlanta" "Cycling" "Cycling Men's Road Race, Individual" NA
"139" 7679 "Dariusz Baranowski" "M" 24 177 79 "Poland" "POL" "1996 Summer" 1996 "Summer" "Atlanta" "Cycling" "Cycling Men's Individual Time Trial" NA
"140" 7680 "Zbigniew Mateusz Baranowski" "M" 25 180 86 "Poland" "POL" "2016 Summer" 2016 "Summer" "Rio de Janeiro" "Wrestling" "Wrestling Men's Light-Heavyweight, Freestyle" NA
"141" 7681 "Zenon Franciszek Baranowski" "M" 26 171 70 "Poland" "POL" "1956 Summer" 1956 "Summer" "Melbourne" "Athletics" "Athletics Men's 4 x 100 metres Relay" NA
"142" 7682 "Anna Baraska (-Werbliska)" "F" 24 178 66 "Poland" "POL" "2008 Summer" 2008 "Summer" "Beijing" "Volleyball" "Volleyball Women's Volleyball" NA
"143" 7695 "Pawe Baraszkiewicz" "M" 19 174 86 "Poland" "POL" "1996 Summer" 1996 "Summer" "Atlanta" "Canoeing" "Canoeing Men's Canadian Doubles, 500 metres" NA
"144" 7695 "Pawe Baraszkiewicz" "M" 23 174 86 "Poland" "POL" "2000 Summer" 2000 "Summer" "Sydney" "Canoeing" "Canoeing Men's Canadian Doubles, 500 metres" "Silver"
"145" 7695 "Pawe Baraszkiewicz" "M" 23 174 86 "Poland" "POL" "2000 Summer" 2000 "Summer" "Sydney" "Canoeing" "Canoeing Men's Canadian Doubles, 1,000 metres" NA
"146" 7695 "Pawe Baraszkiewicz" "M" 27 174 86 "Poland" "POL" "2004 Summer" 2004 "Summer" "Athina" "Canoeing" "Canoeing Men's Canadian Doubles, 500 metres" NA
"147" 7695 "Pawe Baraszkiewicz" "M" 31 174 86 "Poland" "POL" "2008 Summer" 2008 "Summer" "Beijing" "Canoeing" "Canoeing Men's Canadian Singles, 500 metres" NA
"148" 7695 "Pawe Baraszkiewicz" "M" 31 174 86 "Poland" "POL" "2008 Summer" 2008 "Summer" "Beijing" "Canoeing" "Canoeing Men's Canadian Doubles, 1,000 metres" NA
"149" 7782 "Kazimierz Zygfryd Barburski" "M" 26 180 77 "Poland" "POL" "1968 Summer" 1968 "Summer" "Mexico City" "Fencing" "Fencing Men's epee, Team" "Bronze"
